"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"CRL","Charles River Laboratories International","Common stocks","Large cap","Health Care","$14,477,883,698","0.00%","USA","Analyze"
"LPLA","LPL Financial Holdings Inc","Common stocks","Large cap","Financials","$14,475,257,655","0.55%","USA","Analyze"
"CLF","Cleveland-Cliffs Inc.","Common stocks","Large cap","Materials","$14,433,004,596","0.00%","USA","Analyze"
"LDOS","Leidos Holdings Inc","Common stocks","Large cap","Industrials","$14,381,350,679","1.34%","USA","Analyze"
"IRM","Iron Mountain Incorporated","REITs","Large cap","Real Estate","$14,324,013,666","4.91%","USA","Analyze"
"ZEN","Zendesk Inc","Common stocks","Large cap","Information Technology","$14,208,604,344","0.00%","USA","Analyze"
"IPG","Interpublic Group Of Companies Inc","Common stocks","Large cap","Communication Services","$14,198,316,958","3.02%","USA","Analyze"
"QRVO","Qorvo, Inc.","Common stocks","Large cap","Information Technology","$14,190,447,025","0.00%","USA","Analyze"
"FNF","Fidelity National Financial Inc","Common stocks","Large cap","Financials","$14,158,661,184","3.24%","USA","Analyze"
"ELS","Equity LifeStyle Properties, Inc","REITs","Large cap","Real Estate","$14,135,237,448","1.90%","USA","Analyze"
"AVY","Avery Dennison Corp","Common stocks","Large cap","Materials","$14,110,770,640","1.58%","USA","Analyze"
"BEN","Franklin Resources Inc","Common stocks","Large cap","Financials","$14,019,312,857","4.00%","USA","Analyze"
"EMN","Eastman Chemical","Common stocks","Large cap","Materials","$13,915,634,036","2.66%","USA","Analyze"
"SJM","J.M. Smucker","Common stocks","Large cap","Consumer Staples","$13,890,266,520","2.99%","USA","Analyze"
"ABMD","Abiomed Inc","Common stocks","Large cap","Health Care","$13,851,945,146","0.00%","USA","Analyze"
"BLDR","Builders Firstsource Inc","Common stocks","Large cap","Industrials","$13,839,522,235","0.00%","USA","Analyze"
"MAS","Masco Corp","Common stocks","Large cap","Industrials","$13,771,767,152","1.71%","USA","Analyze"
"UAL","United Continental Holdings Inc","Common stocks","Large cap","Industrials","$13,747,925,160","0.00%","USA","Analyze"
"GDDY","GoDaddy Inc. Class A","Common stocks","Large cap","Information Technology","$13,691,641,181","0.00%","USA","Analyze"
"CHRW","C.H. Robinson Worldwide, Inc.","Common stocks","Large cap","Industrials","$13,636,984,638","2.00%","USA","Analyze"
"HST","Host Hotels & Resorts, Inc","REITs","Large cap","Real Estate","$13,590,276,327","0.16%","USA","Analyze"
"APA","Apache Corp","Common stocks","Large cap","Energy","$13,562,424,183","0.61%","USA","Analyze"
"JKHY","Jack Henry & Associates, Inc.","Common stocks","Large cap","Information Technology","$13,509,771,872","1.00%","USA","Analyze"
"ARES","Ares Management Corporation Class A","Common stocks","Large cap","Financials","$13,509,652,211","2.48%","USA","Analyze"
"Z","Zillow Group Inc Class C","Common stocks","Large cap","Real Estate","$13,394,570,157","0.00%","USA","Analyze"
"ZG","Zillow Group Inc Class A","Common stocks","Large cap","Real Estate","$13,394,570,157","0.00%","USA","Analyze"
"MKTX","Marketaxess Holdings Inc","Common stocks","Large cap","Financials","$13,387,683,597","0.76%","USA","Analyze"
"NDSN","Nordson Corp","Common stocks","Large cap","Industrials","$13,382,533,453","0.83%","USA","Analyze"
"DISCK","Discovery Communications, Inc. - Series C","Common stocks","Large cap","Communication Services","$13,375,448,568","0.00%","USA","Analyze"
"DISCA","Discovery Communications Inc Series A","Common stocks","Large cap","Communication Services","$13,375,448,568","0.00%","USA","Analyze"
"LKQ","LKQ Corp","Common stocks","Large cap","Consumer Discretionary","$13,324,410,905","1.07%","USA","Analyze"
"RHI","Robert Half","Common stocks","Large cap","Industrials","$13,321,058,656","1.30%","USA","Analyze"
"AMH","American Homes 4 Rent Class A","REITs","Large cap","Real Estate","$13,193,554,858","1.21%","USA","Analyze"
"PTC","PTC Inc","Common stocks","Large cap","Information Technology","$13,133,283,978","0.00%","USA","Analyze"
"LYFT","Lyft, Inc. - Class A","Common stocks","Large cap","Industrials","$13,129,051,055","0.00%","USA","Analyze"
"BURL","Burlington Stores Inc","Common stocks","Large cap","Consumer Discretionary","$13,112,155,155","0.00%","USA","Analyze"
"NWS","News Corp Class B","Common stocks","Large cap","Communication Services","$13,105,925,192","0.89%","USA","Analyze"
"NWSA","News Corp Class A","Common stocks","Large cap","Communication Services","$13,105,925,192","0.90%","USA","Analyze"
"WOLF","Wolfspeed, Inc.","Common stocks","Large cap","Information Technology","$13,060,650,734","0.00%","USA","Analyze"
"BBWI","Bath & Body Works, Inc.","Common stocks","Large cap","Consumer Discretionary","$12,986,658,443","1.52%","USA","Analyze"
"DT","Dynatrace, Inc.","Common stocks","Large cap","Information Technology","$12,981,377,723","0.00%","USA","Analyze"
"ELAN","Elanco Animal Health Incorporated","Common stocks","Large cap","Health Care","$12,974,780,740","0.00%","USA","Analyze"
"CNA","CNA Financial Corp","Common stocks","Large cap","Financials","$12,960,148,012","3.11%","USA","Analyze"
"FICO","Fair Isaac Corp","Common stocks","Large cap","Information Technology","$12,920,372,223","0.00%","USA","Analyze"
"VTRS","Viatris Inc.","Common stocks","Large cap","Health Care","$12,894,083,145","4.17%","USA","Analyze"
"CSL","Carlisle Companies Inc","Common stocks","Large cap","Industrials","$12,814,355,147","0.87%","USA","Analyze"
"CPB","Campbell Soup","Common stocks","Large cap","Consumer Staples","$12,801,280,014","3.44%","USA","Analyze"
"CTXS","Citrix Systems Inc","Common stocks","Large cap","Information Technology","$12,684,490,932","1.10%","USA","Analyze"
"AAP","Advance Auto Parts Inc","Common stocks","Large cap","Consumer Discretionary","$12,606,874,451","2.16%","USA","Analyze"
"WRK","Westrock","Common stocks","Large cap","Materials","$12,523,740,771","2.04%","USA","Analyze"
"UHS","Universal Health Services Inc.","Common stocks","Large cap","Health Care","$12,474,096,768","0.54%","USA","Analyze"
"CGNX","Cognex Corp","Common stocks","Large cap","Information Technology","$12,461,077,889","0.35%","USA","Analyze"
"CBOE","Cboe Global Markets, Inc.","Common stocks","Large cap","Financials","$12,451,134,274","1.58%","USA","Analyze"
"CMA","Comerica Inc","Common stocks","Large cap","Financials","$12,445,926,648","2.83%","USA","Analyze"
"HAS","Hasbro Inc","Common stocks","Large cap","Consumer Discretionary","$12,413,276,075","3.01%","USA","Analyze"
"FFIV","F5 Networks Inc","Common stocks","Large cap","Information Technology","$12,388,764,535","0.00%","USA","Analyze"
"EQH","AXA Equitable Holdings Inc","Common stocks","Large cap","Financials","$12,376,253,212","2.25%","USA","Analyze"
"FHN","First Horizon National Corp","Common stocks","Large cap","Financials","$12,286,611,158","2.58%","USA","Analyze"
"UHAL","Amerco","Common stocks","Large cap","Industrials","$12,232,514,622","0.38%","USA","Analyze"
"MPW","Medical Properties Trust, Inc","REITs","Large cap","Real Estate","$12,224,150,000","5.40%","USA","Analyze"
"RS","Reliance Steel & Aluminum","Common stocks","Large cap","Materials","$12,209,328,961","1.52%","USA","Analyze"
"NI","Nisource Inc","Common stocks","Large cap","Utilities","$12,198,034,951","2.94%","USA","Analyze"
"WTRG","Essential Utilities, Inc.","Common stocks","Large cap","Utilities","$12,158,233,798","2.18%","USA","Analyze"
"MORN","Morningstar Inc","Common stocks","Large cap","Financials","$12,138,143,987","0.46%","USA","Analyze"
"PHM","Pultegroup Inc","Common stocks","Large cap","Consumer Discretionary","$12,042,165,896","1.19%","USA","Analyze"
"GGG","Graco Inc","Common stocks","Large cap","Industrials","$12,036,819,622","1.08%","USA","Analyze"
"WSO","Watsco Inc","Common stocks","Large cap","Industrials","$11,979,210,378","2.50%","USA","Analyze"
"WSM","Williams Sonoma Inc","Common stocks","Large cap","Consumer Discretionary","$11,977,672,929","1.57%","USA","Analyze"
"HSIC","Henry Schein Inc","Common stocks","Large cap","Health Care","$11,969,698,528","0.00%","USA","Analyze"
"AFG","American Financial Group Inc","Common stocks","Large cap","Financials","$11,923,624,679","1.37%","USA","Analyze"
"DAR","Darling Ingredients Inc","Common stocks","Large cap","Consumer Staples","$11,852,175,777","0.00%","USA","Analyze"
"PCTY","Paylocity Holding Corp","Common stocks","Large cap","Information Technology","$11,777,080,299","0.00%","USA","Analyze"
"CONE","CyrusOne Inc","REITs","Large cap","Real Estate","$11,693,086,923","2.26%","USA","Analyze"
"JLL","Jones Lang LaSalle Inc","Common stocks","Large cap","Real Estate","$11,667,626,741","0.00%","USA","Analyze"
"FBHS","Fortune Brands Home And Security","Common stocks","Large cap","Industrials","$11,663,772,247","1.21%","USA","Analyze"
"EXAS","Exact Sciences Corp","Common stocks","Large cap","Health Care","$11,662,329,734","0.00%","USA","Analyze"
"REXR","Rexford Industrial Realty, Inc","REITs","Large cap","Real Estate","$11,634,061,023","1.32%","USA","Analyze"
"EWBC","East West Bancorp Inc","Common stocks","Large cap","Financials","$11,585,411,083","1.69%","USA","Analyze"
"REG","Regency Centers Corporation","REITs","Large cap","Real Estate","$11,569,360,715","3.57%","USA","Analyze"
"BAH","Booz Allen Hamilton Holding Corp","Common stocks","Large cap","Industrials","$11,550,776,396","1.76%","USA","Analyze"
"GLOB","Globant Sa","Common stocks","Large cap","Information Technology","$11,526,280,310","0.00%","Argentina","Analyze"
"TAP","Molson Coors Brewing Class B","Common stocks","Large cap","Consumer Staples","$11,493,326,664","1.99%","USA","Analyze"
"SNA","Snap On Inc","Common stocks","Large cap","Industrials","$11,430,679,221","2.47%","USA","Analyze"
"WHR","Whirlpool Corp","Common stocks","Large cap","Consumer Discretionary","$11,412,775,201","3.02%","USA","Analyze"
"JNPR","Juniper Networks Inc","Common stocks","Large cap","Information Technology","$11,396,602,812","2.27%","USA","Analyze"
"LNC","Lincoln National Corp","Common stocks","Large cap","Financials","$11,390,633,992","2.57%","USA","Analyze"
"LUMN","CenturyLink, Inc.","Common stocks","Large cap","Communication Services","$11,349,197,964","8.81%","USA","Analyze"
"QGEN","Qiagen Nv","Common stocks","Large cap","Health Care","$11,340,051,139","0.00%","The Netherlands","Analyze"
"CUBE","CubeSmart","REITs","Large cap","Real Estate","$11,305,420,054","2.84%","USA","Analyze"
"RE","Everest Re Group Ltd","Common stocks","Large cap","Financials","$11,257,672,534","2.14%","USA","Analyze"
"LSI","Life Storage, Inc","REITs","Large cap","Real Estate","$11,244,443,829","2.46%","USA","Analyze"
"BSY","Bentley Systems, Inc Class B","Common stocks","Large cap","Information Technology","$11,155,815,982","0.29%","USA","Analyze"
"FCNCA","First Citizens Bancshares Inc Class A","Common stocks","Large cap","Financials","$11,114,028,958","0.25%","USA","Analyze"
"TDOC","Teladoc Inc","Common stocks","Large cap","Health Care","$11,056,152,747","0.00%","USA","Analyze"
"MTN","Vail Resorts Inc","Common stocks","Large cap","Consumer Discretionary","$11,034,617,962","0.65%","USA","Analyze"
"ACM","AECOM","Common stocks","Large cap","Industrials","$11,031,803,745","0.19%","USA","Analyze"
"SNX","Synnex Corp","Common stocks","Large cap","Information Technology","$10,991,824,126","0.79%","USA","Analyze"
"AOS","A O Smith Corp","Common stocks","Large cap","Industrials","$10,987,489,100","1.58%","USA","Analyze"
"RRX","Regal Rexnord Corporation","Common stocks","Large cap","Industrials","$10,969,525,044","0.77%","USA","Analyze"
"FND","Floor Decor Holdings Inc","Common stocks","Large cap","Consumer Discretionary","$10,963,208,030","0.00%","USA","Analyze"
"DVA","Davita Inc","Common stocks","Large cap","Health Care","$10,938,717,000","0.00%","USA","Analyze"
"OLPX","Olaplex Holdings, Inc.","Common stocks","Large cap","Consumer Staples","$10,906,227,829","0.00%","USA","Analyze"
"AAL","American Airlines Group Inc","Common stocks","Large cap","Industrials","$10,873,431,960","0.00%","USA","Analyze"
"CLVT","Clarivate Plc","Common stocks","Large cap","Industrials","$10,827,947,519","0.00%","USA","Analyze"
"RPM","RPM International Inc","Common stocks","Large cap","Materials","$10,736,568,986","1.87%","USA","Analyze"
"GLPI","Gaming and Leisure Properties, Inc","REITs","Large cap","Real Estate","$10,730,566,882","5.85%","USA","Analyze"
"CDAY","Ceridian HCM Holding Inc.","Common stocks","Large cap","Information Technology","$10,719,502,017","0.00%","USA","Analyze"
"DOX","Amdocs Ltd","Common stocks","Large cap","Information Technology","$10,710,390,768","1.75%","Guernsey","Analyze"
"CNXC","Concentrix Corporation","Common stocks","Large cap","Information Technology","$10,628,826,754","0.25%","USA","Analyze"
"RGEN","Repligen Corp","Common stocks","Large cap","Health Care","$10,591,338,539","0.00%","USA","Analyze"
"XRAY","Dentsply Sirona Inc","Common stocks","Large cap","Health Care","$10,586,192,384","0.88%","USA","Analyze"
"NLY","Annaly Capital Management Inc","Mortgage REITs","Large cap","Financials","$10,558,452,477","11.71%","USA","Analyze"
"UPST","Upstart Holdings, Inc.","Common stocks","Large cap","Financials","$10,546,522,757","0.00%","USA","Analyze"
"SCI","Service Corporation International","Common stocks","Large cap","Consumer Discretionary","$10,470,539,523","1.41%","USA","Analyze"
"TPL","Texas Pacific Land Trust","Common stocks","Large cap","Energy","$10,444,250,919","0.83%","USA","Analyze"
"ALLE","Allegion PLC","Common stocks","Large cap","Industrials","$10,423,544,418","1.26%","USA","Analyze"
"WBS","Webster Financial Corp","Common stocks","Large cap","Financials","$10,365,948,884","2.74%","USA","Analyze"
"RNG","Ringcentral Inc Class A","Common stocks","Large cap","Information Technology","$10,350,578,950","0.00%","USA","Analyze"
"BRKR","Bruker Corp","Common stocks","Large cap","Health Care","$10,349,086,656","0.25%","USA","Analyze"
"HUBB","Hubbell Inc","Common stocks","Large cap","Industrials","$10,314,870,922","2.12%","USA","Analyze"
"ZION","Zions Bancorporation","Common stocks","Large cap","Financials","$10,306,041,961","2.16%","USA","Analyze"
"ZNGA","Zynga Inc","Common stocks","Large cap","Communication Services","$10,236,971,366","0.00%","USA","Analyze"
"EQT","EQT Corporation","Common stocks","Large cap","Energy","$10,197,750,540","0.46%","USA","Analyze"
"TPR","Tapestry","Common stocks","Large cap","Consumer Discretionary","$10,139,845,107","1.94%","USA","Analyze"
"LII","Lennox International Inc","Common stocks","Large cap","Industrials","$10,135,957,561","1.27%","USA","Analyze"
"SEE","Sealed Air Corp","Common stocks","Large cap","Materials","$10,128,090,655","1.16%","USA","Analyze"
"AIZ","Assurant Inc","Common stocks","Large cap","Financials","$10,051,831,002","1.51%","USA","Analyze"
"LAD","Lithia Motors Inc Class A","Common stocks","Large cap","Consumer Discretionary","$10,025,772,780","0.41%","USA","Analyze"
"PSTG","Pure Storage Inc Class A","Common stocks","Large cap","Information Technology","$10,017,672,443","0.00%","USA","Analyze"
"VST","Vistra Energy Corp","Common stocks","Mid cap","Utilities","$9,981,400,649","1.99%","USA","Analyze"
"W","Wayfair Inc Class A","Common stocks","Mid cap","Consumer Discretionary","$9,919,729,243","0.00%","USA","Analyze"
"AGCO","AGCO Corp","Common stocks","Mid cap","Industrials","$9,873,145,058","3.60%","USA","Analyze"
"IVZ","Invesco Ltd","Common stocks","Mid cap","Financials","$9,860,063,610","3.14%","USA","Analyze"
"LAMR","Lamar Advertising Company Class A","REITs","Mid cap","Real Estate","$9,766,313,744","3.38%","USA","Analyze"
"GL","Globe Life Inc.","Common stocks","Mid cap","Financials","$9,758,011,130","0.80%","USA","Analyze"
"AZPN","Aspen Technology Inc","Common stocks","Mid cap","Information Technology","$9,741,979,711","0.00%","USA","Analyze"
"OC","Owens Corning","Common stocks","Mid cap","Industrials","$9,725,517,929","1.24%","USA","Analyze"
"JAZZ","Jazz Pharmaceuticals Plc","Common stocks","Mid cap","Health Care","$9,668,919,889","0.00%","USA","Analyze"
"TW","Tradeweb Markets Inc. - Class A","Common stocks","Mid cap","Financials","$9,618,041,453","0.36%","USA","Analyze"
"AXON","Axon Enterprise, Inc.","Common stocks","Mid cap","Industrials","$9,568,000,484","0.00%","USA","Analyze"
"ARMK","Aramark","Common stocks","Mid cap","Consumer Discretionary","$9,550,234,091","1.18%","USA","Analyze"
"NWL","Newell Brands Inc","Common stocks","Mid cap","Consumer Discretionary","$9,524,706,000","4.05%","USA","Analyze"
"PNR","Pentair","Common stocks","Mid cap","Industrials","$9,446,956,025","1.41%","USA","Analyze"
"MIDD","Middleby Corp","Common stocks","Mid cap","Industrials","$9,436,689,714","0.00%","USA","Analyze"
"BKI","Black Knight","Common stocks","Mid cap","Information Technology","$9,407,031,418","0.00%","USA","Analyze"
"MHK","Mohawk Industries Inc","Common stocks","Mid cap","Consumer Discretionary","$9,403,414,979","0.00%","USA","Analyze"
"WAL","Western Alliance","Common stocks","Mid cap","Financials","$9,374,037,045","1.48%","USA","Analyze"
"KNX","Knight Transportation Inc","Common stocks","Mid cap","Industrials","$9,328,305,096","0.75%","USA","Analyze"
"CABO","Cable One Inc","Common stocks","Mid cap","Communication Services","$9,264,961,497","0.70%","USA","Analyze"
"BWA","BorgWarner Inc","Common stocks","Mid cap","Consumer Discretionary","$9,259,966,641","1.75%","USA","Analyze"
"AGL","agilon health, inc.","Common stocks","Mid cap","Health Care","$9,250,902,441","0.00%","USA","Analyze"
"WYNN","Wynn Resorts Ltd","Common stocks","Mid cap","Consumer Discretionary","$9,231,331,774","0.00%","USA","Analyze"
"FRT","Federal Realty Investment Trust","REITs","Mid cap","Real Estate","$9,228,041,745","0.91%","USA","Analyze"
"FIVE","Five Below Inc","Common stocks","Mid cap","Consumer Discretionary","$9,197,687,620","0.00%","USA","Analyze"
"TREX","Trex Inc","Common stocks","Mid cap","Industrials","$9,190,923,366","0.00%","USA","Analyze"
"NRG","NRG Energy Inc","Common stocks","Mid cap","Utilities","$9,180,029,290","3.45%","USA","Analyze"
"Y","Alleghany Corp","Common stocks","Mid cap","Financials","$9,156,120,256","0.00%","USA","Analyze"
"TTC","Toro","Common stocks","Mid cap","Industrials","$9,142,855,610","1.24%","USA","Analyze"
"CIEN","Ciena Corp","Common stocks","Mid cap","Information Technology","$9,142,799,104","0.00%","USA","Analyze"
"GXO","GXO Logistics, Inc.","Common stocks","Mid cap","Industrials","$9,090,022,860","0.00%","USA","Analyze"
"PBCT","Peoples United Financial Inc","Common stocks","Mid cap","Financials","$9,057,470,688","3.41%","USA","Analyze"
"RGLD","Royal Gold Inc","Common stocks","Mid cap","Materials","$9,002,810,834","0.91%","USA","Analyze"
"CFR","Cullen Frost Bankers Inc","Common stocks","Mid cap","Financials","$9,002,354,318","2.09%","USA","Analyze"
"JBL","Jabil Inc","Common stocks","Mid cap","Information Technology","$8,995,035,594","0.51%","USA","Analyze"
"CHDN","Churchill Downs Inc","Common stocks","Mid cap","Consumer Discretionary","$8,929,626,571","0.28%","USA","Analyze"
"OGN","Organon & Co.","Common stocks","Mid cap","Health Care","$8,894,535,017","2.38%","USA","Analyze"
"RL","Ralph Lauren Corp Class A","Common stocks","Mid cap","Consumer Discretionary","$8,874,400,214","1.69%","USA","Analyze"
"MANH","Manhattan Associates Inc","Common stocks","Mid cap","Information Technology","$8,873,895,983","0.00%","USA","Analyze"
"NBIX","Neurocrine Biosciences Inc","Common stocks","Mid cap","Health Care","$8,869,951,068","0.00%","USA","Analyze"
"VNO","Vornado Realty Trust","REITs","Mid cap","Real Estate","$8,836,697,674","4.51%","USA","Analyze"
"WMS","Advanced Drainage Systems Inc","Common stocks","Mid cap","Industrials","$8,813,054,375","0.36%","USA","Analyze"
"XPO","XPO Logistics Inc","Common stocks","Mid cap","Industrials","$8,809,229,938","0.00%","USA","Analyze"
"IAC","IAC/InterActive","Common stocks","Mid cap","Communication Services","$8,801,657,951","0.00%","USA","Analyze"
"NLSN","Nielsen Holdings Plc","Common stocks","Mid cap","Industrials","$8,785,809,441","0.98%","USA","Analyze"
"KRC","Kilroy Realty Corporation","REITs","Mid cap","Real Estate","$8,732,697,106","2.70%","USA","Analyze"
"MASI","Masimo Corp","Common stocks","Mid cap","Health Care","$8,729,904,319","0.00%","USA","Analyze"
"ARW","Arrow Electronics Inc","Common stocks","Mid cap","Information Technology","$8,643,051,688","0.00%","USA","Analyze"
"MKSI","MKS Instruments Inc","Common stocks","Mid cap","Information Technology","$8,619,042,506","0.57%","USA","Analyze"
"LEA","Lear Corp","Common stocks","Mid cap","Consumer Discretionary","$8,615,145,209","1.58%","USA","Analyze"
"CBSH","Commerce Bancshares Inc","Common stocks","Mid cap","Financials","$8,614,561,128","1.44%","USA","Analyze"
"X","United States Steel Corporation","Common stocks","Mid cap","Materials","$8,586,985,510","0.36%","USA","Analyze"
"HUN","Huntsman Corp","Common stocks","Mid cap","Materials","$8,458,766,804","1.95%","USA","Analyze"
"ST","Sensata Technologies Holding Nv","Common stocks","Mid cap","Industrials","$8,425,681,668","0.00%","USA","Analyze"
"NVCR","Novocure Ltd","Common stocks","Mid cap","Health Care","$8,356,682,741","0.00%","USA","Analyze"
"AIRC","Apartment Income REIT Corp.","REITs","Mid cap","Real Estate","$8,353,944,068","3.27%","USA","Analyze"
"MAT","Mattel Inc","Common stocks","Mid cap","Consumer Discretionary","$8,351,631,739","0.00%","USA","Analyze"
"SYNH","Syneos Health Inc","Common stocks","Mid cap","Health Care","$8,334,564,406","0.00%","USA","Analyze"
"SEIC","SEI Investments","Common stocks","Mid cap","Financials","$8,313,694,925","1.28%","USA","Analyze"
"USFD","US Foods Holding Corp","Common stocks","Mid cap","Consumer Staples","$8,300,818,618","0.00%","USA","Analyze"
"FSLR","First Solar Inc","Common stocks","Mid cap","Information Technology","$8,251,500,086","0.00%","USA","Analyze"
"G","Genpact Ltd","Common stocks","Mid cap","Information Technology","$8,242,132,395","1.00%","USA","Analyze"
"PNW","Pinnacle West Corp","Common stocks","Mid cap","Utilities","$8,240,642,859","4.52%","USA","Analyze"
"SITE","Siteone Landscape Supply Inc","Common stocks","Mid cap","Industrials","$8,235,536,996","0.00%","USA","Analyze"
"CPRI","Capri Holdings Limited","Common stocks","Mid cap","Consumer Discretionary","$8,201,505,401","0.00%","USA","Analyze"
"UTHR","United Therapeutics Corp","Common stocks","Mid cap","Health Care","$8,177,936,882","0.00%","USA","Analyze"
"ERIE","Erie Indemnity Class A","Common stocks","Mid cap","Financials","$8,170,846,129","2.36%","USA","Analyze"
"BERY","Berry Global Group Inc","Common stocks","Mid cap","Materials","$8,164,002,000","0.00%","USA","Analyze"
"BFAM","Bright Horizons Family Solutions","Common stocks","Mid cap","Consumer Discretionary","$8,135,173,073","0.00%","USA","Analyze"
"PCOR","Procore Technologies, Inc.","Common stocks","Mid cap","Information Technology","$8,128,349,861","0.00%","USA","Analyze"
"AVLR","Avalara Inc.","Common stocks","Mid cap","Information Technology","$8,125,752,900","0.00%","USA","Analyze"
"DXC","DXC Technology Company","Common stocks","Mid cap","Information Technology","$8,116,665,317","0.00%","USA","Analyze"
"PEN","Penumbra Inc","Common stocks","Mid cap","Health Care","$8,116,485,352","0.00%","USA","Analyze"
"OLN","Olin Corp","Common stocks","Mid cap","Materials","$8,105,206,749","1.51%","USA","Analyze"
"STOR","STORE Capital Corporation","REITs","Mid cap","Real Estate","$8,100,394,387","4.97%","USA","Analyze"
"PAG","Penske Automotive Group Inc","Common stocks","Mid cap","Consumer Discretionary","$8,089,235,947","1.73%","USA","Analyze"
"NVST","Envista Holdings Corporation","Common stocks","Mid cap","Health Care","$8,083,208,950","0.00%","USA","Analyze"
"PTON","Peloton Interactive, Inc. Class A","Common stocks","Mid cap","Consumer Discretionary","$8,065,757,087","0.00%","USA","Analyze"
"OLED","Universal Display Corp","Common stocks","Mid cap","Information Technology","$8,053,794,325","0.54%","USA","Analyze"
"RH","RH","Common stocks","Mid cap","Consumer Discretionary","$8,040,033,768","0.00%","USA","Analyze"
"KSS","Kohls Corporation","Common stocks","Mid cap","Consumer Discretionary","$8,027,933,446","1.99%","USA","Analyze"
"ESTC","Elastic N.V.","Common stocks","Mid cap","Information Technology","$8,019,639,428","0.00%","USA","Analyze"
"DKNG","DraftKings Inc. - Class A","Common stocks","Mid cap","Consumer Discretionary","$8,018,246,056","0.00%","USA","Analyze"
"ORI","Old Republic International Corp","Common stocks","Mid cap","Financials","$7,973,023,933","3.29%","USA","Analyze"
"FR","First Industrial Realty Trust, Inc","REITs","Mid cap","Real Estate","$7,945,081,072","1.78%","USA","Analyze"
"DECK","Deckers Outdoor Corp","Common stocks","Mid cap","Consumer Discretionary","$7,932,116,784","0.00%","USA","Analyze"
"LW","Lamb Weston Holdings Inc","Common stocks","Mid cap","Consumer Staples","$7,925,212,488","1.73%","USA","Analyze"
"JEF","Jefferies Financial Group Inc","Common stocks","Mid cap","Financials","$7,913,529,825","3.03%","USA","Analyze"
"WH","Wyndham Hotels & Resorts Inc","Common stocks","Mid cap","Consumer Discretionary","$7,903,205,814","1.21%","USA","Analyze"
"LECO","Lincoln Electric Holdings Inc","Common stocks","Mid cap","Industrials","$7,880,683,778","1.55%","USA","Analyze"
"CHH","Choice Hotels International Inc","Common stocks","Mid cap","Consumer Discretionary","$7,877,113,128","0.48%","USA","Analyze"
"GWRE","Guidewire Software Inc","Common stocks","Mid cap","Information Technology","$7,825,916,244","0.00%","USA","Analyze"
"WWD","Woodward Inc","Common stocks","Mid cap","Industrials","$7,788,384,419","0.55%","USA","Analyze"
"WEX","Wex Inc","Common stocks","Mid cap","Information Technology","$7,768,629,517","0.00%","USA","Analyze"
"HII","Huntington Ingalls Industries Inc","Common stocks","Mid cap","Industrials","$7,745,473,671","2.37%","USA","Analyze"
"NXST","Nexstar Media Group Inc","Common stocks","Mid cap","Communication Services","$7,743,852,832","1.58%","USA","Analyze"
"ATR","Aptargroup Inc","Common stocks","Mid cap","Materials","$7,719,284,598","1.28%","USA","Analyze"
"ACC","American Campus Communities, Inc","REITs","Mid cap","Real Estate","$7,689,811,012","3.36%","USA","Analyze"
"OGE","OGE Energy Corp","Common stocks","Mid cap","Utilities","$7,689,751,829","4.16%","USA","Analyze"
"BLD","Topbuild Corp","Common stocks","Mid cap","Consumer Discretionary","$7,627,582,405","0.00%","USA","Analyze"
"NNN","National Retail Properties, Inc","REITs","Mid cap","Real Estate","$7,619,046,907","4.78%","USA","Analyze"
"NOV","National Oilwell Varco Inc","Common stocks","Mid cap","Energy","$7,590,220,655","0.52%","USA","Analyze"
"BYD","Boyd Gaming Corp","Common stocks","Mid cap","Consumer Discretionary","$7,577,213,556","0.22%","USA","Analyze"
"UA","Under Armour Inc Class C","Common stocks","Mid cap","Consumer Discretionary","$7,574,471,520","0.00%","USA","Analyze"
"UAA","Under Armour Inc Class A","Common stocks","Mid cap","Consumer Discretionary","$7,574,471,520","0.00%","USA","Analyze"
"PLTK","Playtika Holding Corp.","Common stocks","Mid cap","Communication Services","$7,574,265,131","0.00%","Israel","Analyze"
"PENN","Penn National Gaming Inc","Common stocks","Mid cap","Consumer Discretionary","$7,550,952,599","0.00%","USA","Analyze"
"NYT","New York Times Class A","Common stocks","Mid cap","Communication Services","$7,503,117,849","0.62%","USA","Analyze"
"FAF","First American Financial Corp","Common stocks","Mid cap","Financials","$7,495,043,741","2.88%","USA","Analyze"
"PLAN","Anaplan, Inc.","Common stocks","Mid cap","Information Technology","$7,470,201,457","0.00%","USA","Analyze"
"PNFP","Pinnacle Financial Partners Inc","Common stocks","Mid cap","Financials","$7,457,460,206","0.78%","USA","Analyze"
"BRX","Brixmor Property Group Inc","REITs","Mid cap","Real Estate","$7,446,094,800","3.49%","USA","Analyze"
"COTY","Coty Inc Class A","Common stocks","Mid cap","Consumer Staples","$7,415,396,311","0.00%","USA","Analyze"
"TNDM","Tandem Diabetes Care Inc","Common stocks","Mid cap","Health Care","$7,402,800,729","0.00%","USA","Analyze"
"UGI","UGI Corp","Common stocks","Mid cap","Utilities","$7,397,699,689","3.86%","USA","Analyze"
"SF","Stifel Financial Corp","Common stocks","Mid cap","Financials","$7,371,767,154","1.08%","USA","Analyze"
"DNB","Dun & Bradstreet Holdings, Inc.","Common stocks","Mid cap","Industrials","$7,364,313,350","0.00%","USA","Analyze"
